name,lat,lng
"PW/Ngerulmud",7.5006,134.6242
"NE/Niamey",13.515,2.1175
"CY/Nicosia",35.1725,33.365
"MR/Nouakchott",18.0858,-15.9785
"NC/Noumea",-22.2758,166.458
"TO/Nuku`alofa",-21.1333,-175.2
"GL/Nuuk",64.1814,-51.6942
"AW/Oranjestad",12.5186,-70.0358
"NO/Oslo",59.9133,10.7389
"CA/Ottawa",45.4247,-75.695
"BF/Ouagadougou",12.3686,-1.5275
"AS/Pago Pago",-14.274,-170.7046
"FM/Palikir",6.9172,158.1589
"PA/Panama City",8.9833,-79.5167
"PF/Papeete",-17.5334,-149.5667
"SR/Paramaribo",5.8522,-55.2039
"FR/Paris",48.8567,2.3522
"SX/Philipsburg",18.0237,-63.0458
"KH/Phnom Penh",11.5694,104.9211
"MS/Plymouth",16.7064,-62.2158
"ME/Podgorica",42.4414,19.2628
"MU/Port Louis",-20.1644,57.5042
"PG/Port Moresby",-9.4789,147.1494
"TT/Port of Spain",10.6667,-61.5167
"HT/Port-au-Prince",18.5333,-72.3333
"VU/Port-Vila",-17.7333,168.3167
"BJ/Porto-Novo",6.4972,2.605
"CZ/Prague",50.0875,14.4214
"CV/Praia",14.918,-23.509
"ZA/Pretoria",-25.7461,28.1881
"XK/Pristina",42.6633,21.1622
"MY/Putrajaya",2.93,101.69
"KP/Pyongyang",39.0167,125.7475
"EC/Quito",-0.22,-78.5125
"MA/Rabat",34.0209,-6.8416
"MM/Rangoon",16.795,96.16
"IS/Reykjavik",64.1467,-21.94
"LV/Riga",56.9489,24.1064
"SA/Riyadh",24.6333,46.7167
"VG/Road Town",18.4167,-64.6167
"IT/Rome",41.8933,12.4828
"DM/Roseau",15.3014,-61.3883
"GD/Saint George's",12.05,-61.75
"JE/Saint Helier",49.1858,-2.11
"AG/Saint John's",17.1167,-61.85
"GG/Saint Peter Port",49.4555,-2.5368
"RE/Saint-Denis",-20.8789,55.4481
"PM/Saint-Pierre",46.7778,-56.1778
"CR/San Jose",9.9325,-84.08
"PR/San Juan",18.3985,-66.061
"SM/San Marino",43.9346,12.4473
"SV/San Salvador",13.6989,-89.1914
"YE/Sanaa",15.3483,44.2064
"CL/Santiago",-33.4372,-70.6506
"DO/Santo Domingo",18.4667,-69.95
"ST/Sao Tome",0.3361,6.7306
"BA/Sarajevo",43.8564,18.4131
"KR/Seoul",37.56,126.99
"SG/Singapore",1.3,103.8
"MK/Skopje",41.9961,21.4317
"BG/Sofia",42.7,23.33
"LK/Sri Jayewardenepura Kotte",6.9108,79.8878
"FK/Stanley",-51.7,-57.85
"SE/Stockholm",59.3294,18.0686
"BO/Sucre",-19.0475,-65.26
"FJ/Suva",-18.1416,178.4419
"TW/Taipei",25.0375,121.5625
"EE/Tallinn",59.4372,24.7453
"KI/Tarawa",1.3382,173.0176
"UZ/Tashkent",41.3111,69.2797
"GE/Tbilisi",41.7225,44.7925
"HN/Tegucigalpa",14.1058,-87.2047
"IR/Tehran",35.6892,51.3889
"NL/The Hague",52.08,4.31
"AI/The Valley",18.2208,-63.0517
"BT/Thimphu",27.4722,89.6361
"MA/Tifariti",26.158,-10.567
"AL/Tirana",41.3289,19.8178
"JP/Tokyo",35.6897,139.6922
"FO/Torshavn",62,-6.7833
"LY/Tripoli",32.8872,13.1914
"TN/Tunis",36.8064,10.1817
"MN/Ulaanbaatar",47.9203,106.9172
"LI/Vaduz",47.141,9.521
"MT/Valletta",35.8983,14.5125
"VA/Vatican City",41.904,12.453
"SC/Victoria",-4.6231,55.4525
"AT/Vienna",48.2083,16.3725
"LA/Vientiane",17.98,102.63
"LT/Vilnius",54.6872,25.28
"PL/Warsaw",52.23,21.0111
"US/Washington",38.9047,-77.0163
"NZ/Wellington",-41.2889,174.7772
"CW/Willemstad",12.108,-68.935
"NA/Windhoek",-22.57,17.0836
"CI/Yamoussoukro",6.8161,-5.2742
"CM/Yaounde",3.8667,11.5167
"NR/Yaren",-0.5477,166.9209
"AM/Yerevan",40.1814,44.5144
"HR/Zagreb",45.8131,15.9775

